#000000;#e36379;#c4052e;#ffffff
#71A4F7;#0559d7;#142239;#000000
#a879db;#8032d5;#271935;#000000
#ec70f4;#cb1cdb;#331a35;#000000
#e36379;#c4052e;#331015;#000000
#ed7d64;#df380a;#37190f;#000000
#eecc52;#97833a;#443e24;#000000
#579975;#00622e;#152a20;#000000
#832186;#eecc52;#ec70f4;#000000
#ed7d64;#eecc52;#df380a;#000000
#df380a;#c4052e;#ed7d64;#000000
#ec70f4;#331015;#c4052e;#FFFFFF
#71A4F7;#331015;#0559d7;#FFFFFF
#df380a;#c4052e;#331015;#FFFFFF
#ec70f4;#00622e;#579975;#EB1E32
#142239;#71A4F7;#c4052e;#FFFFFF
#0559d7;#0A4928;#71A4F7;#FFFFFF
#2f1616;#8032d5;#a879db;#FFFFFF
#2f1616;#FFEB9B;#8032d5;#EB1E32
