#71A4F7,#1267F2,#15489C,#192945
#BE91EB,#9248DD,#62368F,#322241
#F591F8,#EF47F4,#9A359D,#452346
#F37884,#EB1E32,#971C28,#441B20
#FF946E,#FF4D0D,#A33811,#482417
#FFEB9B,#FFDD58,#A38F40,#484126
#897777,#3A1C1C,#2D1B1B,#201A1A
#66A483,#006831,#0A4928,#152A20
